Data;IBOVESPA;IVVB11;DÓLAR;IFIX;OZ1D
07/05/2020;-1,20%;4,78%;2,98%;-0,25%;3,07%
06/05/2020;-0,51%;1,40%;2,39%;-0,05%;1,81%
05/05/2020;0,75%;1,80%;-0,83%;0,20%;0,33%
04/05/2020;-2,02%;-0,76%;2,85%;-0,81%;2,40%
30/04/2020;-3,20%;1,01%;-0,04%;0,40%;1,51%
29/04/2020;2,29%;-0,79%;-2,50%;0,79%;-3,96%
28/04/2020;3,93%;-2,75%;-1,20%;0,62%;-4,72%
27/04/2020;3,86%;1,34%;-0,27%;1,12%;0,95%
24/04/2020;-5,45%;3,68%;3,75%;-2,47%;-3,07%
23/04/2020;-1,26%;2,10%;1,15%;0,76%;0,46%
22/04/2020;2,17%;1,18%;1,91%;0,69%;2,05%
20/04/2020;-0,02%;-0,56%;0,50%;-0,15%;2,92%
17/04/2020;1,51%;0,78%;0,37%;0,36%;-1,28%
16/04/2020;-1,29%;2,42%;-0,38%;0,23%;4,98%
15/04/2020;-1,36%;-0,95%;1,39%;-0,19%;2,48%
14/04/2020;1,37%;2,97%;0,07%;0,85%;1,22%
13/04/2020;1,49%;0,83%;2,06%;0,30%;0,88%
09/04/2020;-1,20%;0,61%;-2,58%;0,66%;4,80%
08/04/2020;2,97%;1,44%;-0,18%;0,82%;-2,10%
07/04/2020;3,08%;-0,76%;-0,48%;1,86%;-1,67%
06/04/2020;6,52%;5,09%;-0,99%;0,84%;1,62%
03/04/2020;-3,76%;0,00%;0,66%;-1,14%;1,98%
02/04/2020;1,81%;2,14%;0,47%;-0,75%;1,16%
01/04/2020;-2,81%;-2,85%;0,80%;-1,20%;1,74%
31/03/2020;-2,17%;-0,95%;0,76%;0,68%;-2,26%
30/03/2020;1,65%;4,73%;0,95%;0,34%;1,50%
27/03/2020;-5,51%;-1,24%;2,20%;1,05%;2,31%
26/03/2020;3,67%;5,22%;-1,37%;3,52%;3,17%
25/03/2020;7,50%;-0,63%;-0,01%;5,82%;-3,08%
24/03/2020;9,69%;8,87%;-0,18%;2,81%;2,77%
23/03/2020;-5,22%;-0,80%;1,11%;-4,71%;4,12%
20/03/2020;-1,85%;-4,76%;-2,33%;3,14%;0,73%
19/03/2020;2,15%;-1,69%;0,66%;0,91%;-0,77%
18/03/2020;-10,35%;-2,20%;1,21%;-13,23%;-0,78%
17/03/2020;4,85%;5,63%;2,07%;-2,13%;1,24%
16/03/2020;-13,92%;-7,73%;4,45%;-4,64%;-1,63%
13/03/2020;13,91%;10,28%;-3,01%;1,49%;-0,20%
12/03/2020;-14,78%;-8,73%;4,48%;-6,57%;-2,18%
11/03/2020;-7,64%;-3,37%;0,10%;-1,83%;2,44%
10/03/2020;7,14%;3,75%;-1,45%;1,42%;-3,79%
09/03/2020;-12,17%;-6,04%;1,98%;-3,55%;3,73%
06/03/2020;-4,14%;-1,55%;0,55%;-0,92%;-0,20%
05/03/2020;-4,65%;-2,56%;2,10%;-0,29%;3,78%
04/03/2020;1,60%;5,91%;0,84%;0,12%;0,76%
03/03/2020;-1,02%;-2,17%;-0,14%;0,46%;3,48%
02/03/2020;2,36%;4,99%;-0,09%;0,73%;-0,33%
28/02/2020;1,15%;-1,52%;0,50%;-0,29%;-4,98%
27/02/2020;-2,59%;-2,88%;0,91%;-0,01%;0,05%
26/02/2020;-7,00%;-5,87%;0,99%;-1,49%;2,72%
21/02/2020;-0,79%;-1,04%;0,12%;0,15%;2,91%
20/02/2020;-1,66%;0,16%;0,33%;0,01%;0,83%
19/02/2020;1,34%;0,56%;0,59%;-0,41%;0,53%
18/02/2020;-0,29%;-0,77%;0,73%;-0,71%;2,62%
17/02/2020;0,81%;2,13%;-0,01%;-0,06%;-0,39%
14/02/2020;-1,11%;-1,29%;-0,52%;0,31%;0,18%
13/02/2020;-0,87%;0,13%;0,05%;0,18%;0,45%
12/02/2020;1,13%;0,86%;0,51%;0,46%;-0,41%
11/02/2020;2,49%;0,35%;-0,11%;0,52%;0,00%
10/02/2020;-1,05%;1,10%;0,28%;-0,78%;0,27%
07/02/2020;-1,23%;0,26%;1,41%;-0,48%;0,21%
06/02/2020;-0,72%;1,32%;0,07%;-0,18%;0,48%
05/02/2020;0,41%;0,60%;0,16%;-0,33%;0,37%
04/02/2020;0,81%;1,78%;-0,22%;0,08%;-0,09%
03/02/2020;0,76%;-0,09%;-0,52%;-0,69%;-0,14%
31/01/2020;-1,53%;-1,19%;0,40%;0,04%;-0,46%
30/01/2020;0,12%;0,60%;1,21%;-0,38%;1,40%
29/01/2020;-0,94%;1,36%;-0,12%;-0,39%;0,47%
28/01/2020;1,74%;0,64%;-0,31%;0,25%;-0,70%
27/01/2020;-3,29%;-1,19%;1,02%;-0,89%;1,66%
24/01/2020;-0,96%;-0,63%;0,26%;-0,04%;-0,80%
23/01/2020;0,96%;-0,16%;-0,54%;0,03%;0,09%
22/01/2020;1,17%;-0,69%;-0,30%;-0,18%;-0,21%
21/01/2020;-1,54%;-0,44%;0,44%;-0,42%;0,20%
20/01/2020;0,32%;1,45%;-0,02%;-0,38%;0,72%
17/01/2020;1,52%;-0,21%;0,27%;-0,36%;-0,91%
16/01/2020;0,25%;0,92%;0,25%;-0,41%;-0,02%
15/01/2020;-1,04%;1,42%;0,43%;-0,23%;0,00%
14/01/2020;0,26%;-0,42%;0,32%;0,10%;-0,11%
13/01/2020;1,58%;1,88%;1,38%;0,14%;0,58%
10/01/2020;-0,38%;-0,03%;0,00%;0,24%;0,00%
09/01/2020;-0,26%;1,31%;0,18%;-0,52%;0,59%
08/01/2020;-0,36%;0,18%;-0,41%;-1,72%;-0,35%
07/01/2020;-0,18%;0,07%;0,71%;-0,30%;0,66%
06/01/2020;-0,70%;0,36%;0,08%;-0,13%;0,53%
03/01/2020;-0,73%;0,07%;0,77%;0,89%;2,94%
02/01/2020;2,53%;1,36%;-0,23%;0,86%;0,67%
30/12/2019;-0,76%;-1,17%;0,00%;0,89%;-1,63%
27/12/2019;-0,57%;-0,04%;-0,59%;1,10%;1,48%
26/12/2019;1,16%;-0,81%;-0,14%;1,59%;0,50%
23/12/2019;0,64%;0,14%;-0,49%;1,11%;0,40%
20/12/2019;-0,01%;2,28%;0,10%;0,84%;0,60%
19/12/2019;0,71%;-0,58%;-0,05%;0,49%;1,46%
18/12/2019;1,51%;-0,14%;0,35%;0,50%;-1,19%
17/12/2019;0,64%;0,50%;0,21%;0,22%;-1,24%
16/12/2019;-0,59%;-0,87%;-0,34%;0,30%;-1,46%
13/12/2019;0,33%;0,58%;-0,28%;0,31%;-0,49%
12/12/2019;1,11%;0,08%;-0,36%;0,44%;0,49%
11/12/2019;0,26%;-0,41%;-0,35%;0,44%;0,98%
10/12/2019;-0,28%;-0,06%;-0,15%;0,38%;0,00%
09/12/2019;-0,13%;-0,20%;-0,66%;0,12%;-0,68%
06/12/2019;0,46%;-0,19%;-0,18%;0,41%;-0,98%
05/12/2019;0,29%;-0,26%;-0,67%;0,10%;0,69%
04/12/2019;1,23%;0,60%;-0,84%;0,30%;-0,49%
03/12/2019;0,03%;-1,04%;0,50%;0,55%;-0,91%
02/12/2019;0,64%;-1,81%;-0,20%;0,05%;0,19%
29/11/2019;-0,05%;0,43%;-0,60%;0,20%;1,67%
28/11/2019;0,54%;-0,67%;0,05%;0,25%;-0,92%
27/11/2019;0,61%;0,71%;-0,57%;0,02%;-0,55%
26/11/2019;-1,26%;0,69%;-0,29%;0,14%;1,30%
25/11/2019;-0,25%;1,50%;0,10%;0,02%;-1,23%
22/11/2019;1,11%;0,07%;1,12%;0,45%;0,42%
21/11/2019;1,54%;-0,53%;0,61%;0,25%;0,42%
19/11/2019;-0,38%;-0,29%;-0,43%;0,49%;-0,09%
18/11/2019;-0,27%;1,32%;-0,05%;0,30%;0,00%
14/11/2019;0,47%;0,38%;-0,12%;0,17%;-0,24%
13/11/2019;-0,65%;0,44%;0,61%;-0,11%;0,49%
12/11/2019;-1,49%;0,55%;-0,01%;-0,03%;0,34%
11/11/2019;0,69%;-0,25%;0,15%;-0,15%;-0,20%
08/11/2019;-1,78%;1,41%;0,03%;0,23%;1,08%
07/11/2019;1,13%;1,31%;0,47%;0,46%;0,25%
06/11/2019;-0,33%;2,06%;0,47%;0,40%;0,50%
