Data;Abertura;Máxima;Mínima;Fechamento;Compra;Venda
16/12/2019;112565,28;113196,83;111896,04;111896,04;0;2
13/12/2019;112204,76;112829,31;111779,96;112564,86;0;1
12/12/2019;110963,08;112444,74;110963,08;112199,74;0;1
11/12/2019;110672,07;111226,71;110529,5;110963,87;0;1
10/12/2019;110973,03;111184,37;110132,84;110672,01;0;1
09/12/2019;111125,1;111453,05;110869,87;110977,23;0;1
06/12/2019;110622,92;111429,66;110622,92;111125,75;0;0
05/12/2019;110297,33;111072,8;110007,67;110622,27;0;0
04/12/2019;108961,96;110300,93;108961,96;110300,93;0;0
03/12/2019;108930,97;109197,77;108190,46;108956,02;0;0
02/12/2019;108233,28;109278,67;108233,28;108927,83;0;0
29/11/2019;108290,09;108707,55;107759,39;108233,28;0;0
28/11/2019;107707,75;108333,02;107148,02;108290,09;0;0
27/11/2019;107059,4;107991,15;106312,21;107707,75;0;0
26/11/2019;108423,93;108423,93;106413,93;107059,4;0;0
25/11/2019;108692,28;108914,73;108079,87;108423,93;0;0
22/11/2019;107496,51;108692,28;107156,64;108692,28;0;0
21/11/2019;105866,12;107496,73;105864,47;107496,73;0;0
19/11/2019;106268,82;106949,81;105366,68;105864,18;0;0
18/11/2019;106566,04;107519,18;106246,06;106269,25;0;0
14/11/2019;106052,39;106757,61;105820,37;106556,88;0;0
13/11/2019;106751,11;106785,79;105260,78;106059,95;0;0
12/11/2019;108367,8;108367,8;106232,45;106751,11;0;0
11/11/2019;107621,72;108367,44;106813,53;108367,44;0;0
08/11/2019;109572,16;109572,16;107126,65;107628,98;0;0
07/11/2019;108360,22;109671,91;108360,22;109580,57;0;0
06/11/2019;108719,02;109633,14;107445,54;108360,22;0;0
05/11/2019;108778,78;109342,86;108252,78;108719,02;0;0
04/11/2019;108195,72;109352,13;108195,72;108779,33;0;0
01/11/2019;107220,94;108496,08;107220,43;108195,63;0;0
31/10/2019;108403,12;108403,12;106355,82;107219,83;1;0
30/10/2019;107557,11;108407,54;106622,01;108407,54;2;0
29/10/2019;108189,32;108195,22;107313,05;107556,26;2;0
28/10/2019;107365,66;108392,72;107362,47;108187,06;2;0
25/10/2019;106989,54;108083,26;106989,54;107363,77;2;1
24/10/2019;107552,72;107744,08;106592,72;106986,15;2;1
23/10/2019;107381,11;107958,82;107040,79;107543,59;2;1
22/10/2019;106022,71;107420,73;105927,32;107381,11;2;1
21/10/2019;104728,89;106026,91;104695,52;106022,28;2;1
18/10/2019;105011,71;105464,25;104524,97;104728,89;2;1
17/10/2019;105388,63;105891,19;104826,61;105015,77;2;1
16/10/2019;104485,87;105462,07;103521,08;105422,8;2;2
15/10/2019;104298,53;105047,62;104052,48;104489,56;2;2
14/10/2019;103833,59;104304,85;103438,47;104301,58;2;2
11/10/2019;101818,6;104380,89;101818,6;103831,92;2;2
10/10/2019;101243,74;102482,98;101152,12;101817,13;2;3
09/10/2019;100005,44;101566,59;100005,44;101248,78;2;3
08/10/2019;100564,6;101296,28;99867,59;99981,4;2;3
07/10/2019;102546,02;102546,02;100541,89;100572,77;2;3
04/10/2019;101516,04;102579,55;101057,36;102551,32;2;3
03/10/2019;101031,44;101560,23;99826,3;101516,04;1;3
02/10/2019;104049,12;104049,12;100943,82;101031,44;0;3
01/10/2019;104745,06;105121,16;103837,47;104053,4;0;3
30/09/2019;105077,45;105177,5;104638,18;104745,32;0;3
27/09/2019;105319,4;105632,94;104505,69;105077,63;0;2
26/09/2019;104485,18;105342,3;104337,39;105319,4;0;2
25/09/2019;103856,87;104480,98;103033,84;104480,98;0;2
24/09/2019;104637,51;104892,9;103503,53;103875,66;1;2
23/09/2019;104817,39;104817,39;104019,5;104637,82;1;2
20/09/2019;104339,16;105044,5;103913,5;104817,4;1;2
19/09/2019;104555,31;106001,35;104285,83;104339,16;1;2
18/09/2019;104616,28;104761,84;103684,12;104531,93;1;1
17/09/2019;103679,69;104618,93;103078,89;104616,86;1;1
16/09/2019;103495,52;104004,61;102782,33;103680,41;1;1
13/09/2019;104371,1;104699,2;103274,91;103501,18;1;1
12/09/2019;103452,52;104618,01;103452,52;104370,91;1;0
11/09/2019;103035,89;104155,86;103035,89;103445,6;1;0
10/09/2019;103179,94;103503,45;102230,73;103031,5;1;0
09/09/2019;102936,68;104259,77;102792,78;103180,59;1;0
06/09/2019;102246,83;103181,64;102245,98;102935,43;1;0
05/09/2019;101203,84;103258,48;101203,84;102243;1;0
04/09/2019;99705,69;101200,89;99705,69;101200,89;1;0
03/09/2019;100626,38;101416,66;99406,15;99680,83;1;0
02/09/2019;101132,51;101611,02;100625,74;100625,74;2;0
30/08/2019;100526,27;101551,35;100526,27;101134,61;2;0
29/08/2019;98194,11;100683,87;98194,11;100524,43;2;0
28/08/2019;97273,35;98346,03;96557,06;98193,53;2;0
27/08/2019;96434,3;97950,98;95855,3;97276,19;1;0
26/08/2019;97686,54;98435,96;95960,74;96429,6;1;0
23/08/2019;100007,25;100024,83;97085,21;97667,49;1;0
22/08/2019;101209,02;101469,05;100011,28;100011,28;1;0
21/08/2019;99227,12;101240,13;99221,27;101201,9;1;0
20/08/2019;99471,93;99664,75;98002,03;99222,25;1;0
19/08/2019;99809,52;100947,6;98908,19;99468,67;1;0
16/08/2019;99059,12;100566,93;99059,12;99805,78;1;0
15/08/2019;100262,03;101014,41;98200,36;99056,91;1;0
14/08/2019;103270,08;103270,08;99954,75;100258,01;1;0
13/08/2019;101912,15;103778,22;101414,44;103299,47;1;0
12/08/2019;103945,84;103945,84;101621,22;101915,22;1;0
09/08/2019;104101,95;104848,18;103546,67;103996,16;1;0
08/08/2019;102782,37;104281,89;102782,37;104115,23;1;0
07/08/2019;102163,25;102784,21;100476,12;102782,37;1;0
06/08/2019;100097,51;102178,08;100097,51;102163,69;1;0
05/08/2019;102657,77;102657,77;99630,09;100097,75;0;0
02/08/2019;102122,39;103179,66;101667,02;102673,68;0;0
01/08/2019;101818,93;104055,69;101818,93;102125,94;0;0
31/07/2019;102945,65;103128,7;100950,36;101812,13;0;0
30/07/2019;103482,87;103554,99;102596,13;102932,76;0;0
29/07/2019;102817,42;103482,63;102460,82;103482,63;0;1
26/07/2019;102653,9;103209,05;102196,31;102818,93;0;1
25/07/2019;104118,8;104439,7;102390,47;102654,58;0;1
24/07/2019;103706,64;104570,36;103706,64;104119,54;0;1
23/07/2019;103949,46;104429,57;103518,2;103704,28;0;2
22/07/2019;103451,93;104278,14;103451,93;103949,46;0;2
19/07/2019;104716,41;104722,64;103387,84;103451,93;0;2
18/07/2019;103859,36;104773,05;103859,36;104716,59;0;2
17/07/2019;103775,14;104453,09;103711,71;103855,53;0;2
16/07/2019;103805,39;104439,98;103361,08;103775,41;0;2
15/07/2019;103909,11;104577,91;103494,84;103802,69;0;3
12/07/2019;105157,57;105730,54;103903,06;103905,99;0;3
11/07/2019;105818,26;105885,5;104813,51;105146,44;0;3
10/07/2019;104536,7;106650,12;104536,7;105817,06;0;3
08/07/2019;104090,14;104679,3;103987,99;104530,22;0;3
05/07/2019;103628,28;104175,9;102621,7;104089,47;0;3
04/07/2019;102046,55;104021,6;102046,55;103636,17;0;3
03/07/2019;100576,27;102176,96;100451,36;102043,11;0;3
02/07/2019;101342,31;101564,53;100072,77;100605,17;0;3
01/07/2019;100973,48;102431,61;100973,48;101339,68;0;3
28/06/2019;100726,43;101562,52;100726,43;100967,2;0;3
27/06/2019;100688,63;101024,95;99420,64;100723,97;0;3
26/06/2019;100094,59;101126,24;100094,59;100688,63;0;3
25/06/2019;102061,44;102061,44;99890,22;100092,95;0;3
24/06/2019;102017,56;102617,31;101588,92;102062,33;0;2
21/06/2019;100304,79;102099,65;100304,79;102012,64;0;2
19/06/2019;99403,24;100327,15;98977,84;100303,41;0;2
18/06/2019;97633,36;99411,78;97633,36;99404,39;0;2
17/06/2019;98037,52;98439,36;97622,65;97623,25;0;2
14/06/2019;98775,72;98980,83;97600,83;98040,06;0;2
13/06/2019;98321,11;99364,48;98321,11;98773,7;0;1
12/06/2019;98959,59;99239,5;97831;98320,88;0;1
11/06/2019;97466,69;98984,6;97466,69;98960;1;1
10/06/2019;97827,62;97856;96782,23;97466,69;1;1
07/06/2019;97204,85;98325,57;97204,85;97821,26;1;1
06/06/2019;96001,79;97461,97;96001,79;97204,85;1;1
05/06/2019;97381,37;97686,14;95685,84;95998,75;1;1
04/06/2019;97020,1;97722,88;96593,43;97380,28;1;1
03/06/2019;97035,78;97756,75;96429,88;97020,48;1;1
31/05/2019;97419,73;97992,31;96792,4;97030,32;1;1
30/05/2019;96565,54;97939,08;96510,53;97457,36;1;0
29/05/2019;96388,66;96985,83;95689,78;96566,55;1;0
28/05/2019;94863,04;96551,8;94706,7;96392,76;1;0
27/05/2019;93625,7;95444,04;93625,7;94864,25;1;0
24/05/2019;93912,05;94899,52;93545,46;93627,8;1;0
23/05/2019;94360,1;94546,68;93299,97;93910,03;1;0
22/05/2019;94485,43;95211,75;93882,56;94360,66;1;0
21/05/2019;91945,56;94572,55;91945,56;94484,63;1;0
20/05/2019;90005,81;92116,51;89822,25;91946,19;1;0
17/05/2019;90023,41;91320,54;89408,93;89992,73;1;0
16/05/2019;91621,82;91621,82;89778,11;90024,47;1;0
15/05/2019;92087,83;92087,83;90294,63;91623,44;1;0
14/05/2019;91736,48;92528,53;91562,45;92092,44;0;0
13/05/2019;94252,49;94252,49;91599,97;91726,54;0;0
10/05/2019;94809;94847,83;93234,12;94257,56;0;0
09/05/2019;95596,61;95596,61;93883,23;94807,85;0;0
08/05/2019;94388,56;96311,89;94388,56;95596,61;0;0
07/05/2019;95008,66;95008,66;92749,7;94388,73;0;0
06/05/2019;95991,51;95991,51;94539,99;95008,66;0;0
03/05/2019;95520,64;96314,61;95520,64;96007,89;0;0
02/05/2019;96339,31;96339,31;95311,67;95527,62;0;0
30/04/2019;96191,45;96706,71;95613,24;96353,33;0;0
29/04/2019;96253,53;97123,09;96003,57;96187,75;0;0
